Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
RP4-669L17.10,41.21692265747876,1.3129380766412848,0.3773287584093008,3.4795600583857382,0.000502237783371461,0.006654233862189125,up
LINC01786,55.29391987529695,1.3551987920524426,0.6140814568668084,2.206871379844286,0.027323046436821978,0.11514680184320036,up
SCNN1D,780.9622604126088,1.6350231432485822,0.6699052750317342,2.4406781140380316,0.014659714821983437,0.07586555588000356,up
MXRA8,5456.478324529297,2.3450827495785878,0.8427909633863455,2.7825200452506205,0.005393853319284369,0.03804031084368951,up
RP4-758J18.7,9.91849622641036,1.9120888200493054,0.792991337457147,2.4112354444888675,0.01589858139374908,0.08010209614322443,up
TMEM240,154.2062409584537,2.5288663764307966,0.7964761801881499,3.1750684318436337,0.0014980116902173694,0.014944380213435618,up
RP11-345P4.9,552.8939006097904,1.0068762253536139,0.37208416853149756,2.7060442515666456,0.006808997202691041,0.04465056803173413,up
MMP23B,70.02942176177339,1.9711083933213913,0.9189183700834718,2.145031003289598,0.03195036823508568,0.1272399366823556,up
RP1-283E3.4,584.2768876795882,0.9811106056565507,0.4478606476794266,2.1906604448060776,0.02847637352132824,0.11805685229246905,up
SLC35E2,407.5375247906302,0.7065798836744032,0.2919625004029287,2.4201049199786735,0.015516029534876448,0.07886001143756989,up
RP11-46F15.2,37.401846120504445,1.4424712295897277,0.591027101703115,2.4406177405961165,0.014662165529586428,0.07586555588000356,up
TP73-AS1,2930.2419522022765,0.783018882029439,0.2601846730675014,3.0094735127856485,0.0026170089644902876,0.022614255310021255,up
CCDC27,7.878902697531037,4.175713061440436,1.1049013389193973,3.7792632829319563,0.00015729304410136376,0.0027263461346088472,up
RPL22,19001.239604850696,1.5006225402995035,0.45329014685681146,3.31051215365052,0.000931254080093557,0.010464916444540328,up
TNFRSF25,396.0636011308278,1.5627978431379044,0.41702465715266185,3.747495061343111,0.00017860935233443567,0.0030193147572558777,up
PLEKHG5,954.2982324402435,1.5826370763071658,0.7075860314184599,2.236670886697039,0.025307858137282896,0.10956859355464178,up
TAS1R1,17.792892911958692,1.7763213829623983,0.679237864123751,2.615168377360613,0.00891834783989187,0.0538202354028393,up
LINC01759,49.377919619156614,1.2380330428230235,0.35604006776880787,3.477229544925634,0.0005066238807526613,0.006692630022848078,up
RP3-510D11.4,5.824312834189586,2.2140650643266224,1.0170616585698107,2.1769231448956936,0.029486302222126944,0.12071354251071037,up
TMEM201,1034.445758086241,1.2425270383332043,0.5235488860426272,2.373277971662112,0.017630989573409528,0.08581356859914208,up
LZIC,787.3874842084772,0.883504352805782,0.34333827975590087,2.5732765756090945,0.010074066741793921,0.05873814137518197,up
C1orf167,4.949667011557418,2.3447297856662535,1.0357390591353643,2.2638228856828433,0.023585010350535916,0.10483185729775583,up
PRDM2,3741.5242666246822,1.2144420120182033,0.40604947160265237,2.99087204134234,0.0027818203358520362,0.023614460880948283,up
CASP9,2320.292059569804,1.9613222511940138,0.6629932004540794,2.95828411188941,0.0030935685149361234,0.025462884506495396,up
UQCRHL,279.5145098777721,0.9408361877218068,0.3365924148661311,2.7951794103738026,0.005187092006746015,0.03706373389358098,up
RSG1,224.5325138815752,0.740844390373745,0.3169865586402504,2.3371476492621035,0.019431508137932877,0.09158875482086655,up
LINC01772,159.77792931268655,1.7850460728484108,0.6514848924542035,2.739965413662899,0.006144564999907314,0.041788928869268355,up
CROCCP3,591.7059186868325,2.1661450369440582,0.6769246532422161,3.199979534751812,0.0013743734609405114,0.013955965012474309,up
NBPF1,1311.934340373693,1.389380237134324,0.5515474771432028,2.5190582764166787,0.01176691796478773,0.06540908920544132,up
PADI6,31.187695393925022,8.130910632820514,2.882250059051538,2.8210288719696144,0.0047869894316992,0.03503911432229982,up
PLA2G5,1105.9998194000855,3.6551436297285624,1.0396191132125576,3.515848817393993,0.0004383505169508257,0.006011765234891727,up
SH2D5,69.37909793025968,4.319399922192942,1.0057338940042075,4.294774142487905,1.7487127294731763e-05,0.00048329266539687163,up
HP1BP3,13598.620005588818,1.1307357731553216,0.30709516455332253,3.6820370480271305,0.0002313777763944755,0.0036591541835379266,up
NBPF2P,17.338812636243148,2.154264247228525,0.9597739526347414,2.244553773640873,0.024796793165352226,0.10832849043410749,up
LINC01355,1285.144637383098,1.3740326545141615,0.5451490984436098,2.5204712957189113,0.011719779664184178,0.0652181194270668,up
ZNF436,1625.5609129764148,1.8356065401776254,0.8735233674850998,2.1013822966893168,0.03560742072234614,0.13632143106803657,up
ASAP3,4003.448380887493,1.7685994585405167,0.4015463619059187,4.4044713794590304,1.0604213916091826e-05,0.000321869571101797,up
SRSF10,5546.349593884983,0.3705783693990235,0.1811467927241776,2.0457351953411784,0.040782430997144146,0.14933636607929093,up
SRRM1,9019.819500726253,1.1355769207181041,0.3258940664010263,3.48449707372312,0.0004930628537546831,0.00658854915475548,up
RP3-465N24.5,25.083768650457657,1.7012340987798442,0.5932356389428307,2.8677206612392845,0.004134403856966476,0.031388246424808884,up
SDHDP6,16.970610440898426,1.8152241977484673,0.4733863624397827,3.8345511019645686,0.00012579381855403572,0.002295332272886192,up
PAQR7,1279.2770929190012,2.891926956096593,0.2759130899061026,10.481296690493226,1.0529009079315257e-25,2.0660345584942532e-22,up
STMN1,3334.896781032726,3.3121681042425823,0.9125575702649285,3.629544274429736,0.0002839220323402118,0.004285542676311516,up
LIN28A,3.163430057019731,2.1918834951083785,0.8751722553440925,2.504516661404666,0.012261882986866765,,up
