Gene,X5EGGE,X5EQMM,X5GICA,X5N9D6,X5P9GB,X5N9ES,X5P9GS,X5N9E1
DCTN4,1201,2418,3551,2862,5966,4173,7811,6762
SMIM3,171,439,3800,2942,6498,1894,2818,3226
IRGM,1,1,6,26,4,0,6,7
ZNF300,91,214,282,224,648,402,3560,2154
ZNF300P1,46,153,151,56,311,182,1990,1691
CTC-311G1.1,0,1,0,0,0,0,1,0
CTC-311G1.2,0,0,0,0,0,0,0,0
GPX3,32695,27610,294879,331224,21005,7702,12966,19944
TNIP1,4076,10832,9377,19733,10327,7088,8500,6112
ANXA6,4016,14252,13362,11772,7890,4641,38555,20426
CTB-17P3.4,0,0,1,1,0,1,42,4
CCDC69,2296,3284,9681,9259,10401,5365,6080,4684
GM2A,483,1243,3215,2169,1819,1043,5570,3982
SLC36A3,0,1,0,3,0,2,0,3
SLC36A2,0,2,1,1,2,6,2,2
CTC-224D3.1,0,0,0,0,0,0,0,0
CTB-23I7.1,0,0,2,0,0,0,0,1
CTB-23I7.2,0,0,0,0,1,0,0,0
CTB-23I7.3,0,0,0,1,0,0,2,1
SLC36A1,269,597,2072,1107,2117,1110,2101,1404
RNA5SP197,0,0,0,0,0,0,1,0
FAT2,12,26,72,56,79,49,109,29
CTC-251D13.1,30,56,51,54,62,22,56,83
MIR6499,0,0,0,0,0,0,0,0
CTB-113P19.4,0,0,18,2,12,0,0,3
SPARC,6188,10005,80928,37823,14991,6178,153221,45724
CTB-113P19.1,0,0,2,3,1,0,16,3
RN7SKP232,0,0,0,2,0,0,0,0
CTB-113P19.5,4,51,31,30,36,28,24,63
ATOX1,1324,3536,1619,1098,845,915,1552,1555
CTB-113P19.3,1,0,4,4,1,0,13,9
RPLP1P6,16,58,20,15,24,23,56,83
RP11-54C4.3,28,58,67,28,42,27,98,181
G3BP1,3756,6270,6015,8868,6043,3658,15572,9408
GLRA1,4,1,2,1,3,5,2,2
RP11-54C4.2,0,0,0,0,0,2,2,1
