Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
ABC7-43046700E7.1,3.4405662736805347,-3.993982951443984,1.6865870311138884,-2.3680858904780027,0.017880384408164373,,down
MTND1P23,158.03301042219442,-3.3648236464644317,1.107898917736695,-3.0371215212831544,0.0023884914316072547,0.021148222120398977,down
MTND2P28,23647.192358816927,-2.679001930385303,1.04442234431728,-2.5650561240496232,0.010315911728692093,0.05977932582626229,down
MTCO1P12,8511.517440228688,-6.100264044473305,1.5499738132450438,-3.935720714985319,8.294739104689803e-05,0.001640415646699022,down
MTCO2P12,496.0243571788968,-3.3114694600672845,1.2356822545710686,-2.6798713405630035,0.007365046225603014,0.04706286677577838,down
MTATP8P1,166.85135764746676,-3.8142075924850274,1.4094483761655046,-2.7061704827117015,0.006806409385282023,0.04464507508592418,down
MTATP6P1,99871.29056513112,-3.074729304631166,1.1442003819113895,-2.6872297485994747,0.0072047377767769,0.04643397067908083,down
MTCO3P12,1079.165905011439,-4.380235703765821,1.6301121693900669,-2.6870762552522733,0.007208049505251858,0.04643480894994446,down
SAMD11,179.5570499778958,-1.9800559411934897,0.9638345638585055,-2.054352495169668,0.03994158733918095,0.14721426837670376,down
KLHL17,811.6696006872946,-2.030305662360334,0.30895447507762125,-6.57153667008786,4.9798618287263964e-11,8.091165311400105e-09,down
PLEKHN1,71.74977466206961,-4.0266246273431054,0.7193993148879931,-5.597203867187489,2.1783649730767672e-08,1.870973471320379e-06,down
PERM1,33.28826784401514,-2.9793988650294905,0.7104600894646184,-4.193618908663367,2.7453905945051243e-05,0.0006947635781272938,down
AGRN,6155.669504869462,-1.539797680189554,0.5110863433056554,-3.012793631366271,0.002588548798177829,0.02242910709671136,down
RP11-465B22.3,79.23893454753343,-4.3265288032768225,0.9110346786877227,-4.749027566666138,2.0439708306647312e-06,8.315733958441249e-05,down
RP11-54O7.18,7.583155568005532,-3.5626891457291396,1.5036397703866267,-2.369376772212586,0.01781809161830524,0.08637812601507952,down
LINC01342,11.567872260073806,-3.788035595212289,1.3848023739549493,-2.7354340709236267,0.006229806452612931,0.0421416422168399,down
RP11-465B22.8,319.22901817884906,-10.597681629513605,2.2977991530396413,-4.612100938193172,3.986193283708602e-06,0.00014526257782017534,down
TNFRSF18,61.0380960075139,-4.218382774683741,1.4779277896949718,-2.8542549941187385,0.004313789120971185,0.03244116942419043,down
SDF4,9363.671978752252,-0.6267021634865693,0.27629871740297696,-2.268205112847248,0.023316707980047955,0.10401992022788444,down
C1QTNF12,45.19193776703521,-1.4863533508162474,0.6152125047555703,-2.4159999013784508,0.015692065597120962,0.07940501658883913,down
UBE2J2,2763.8600525439692,-1.0060741288558428,0.34240128530307573,-2.938289580207967,0.003300286032899583,0.02673713684735836,down
CPTP,2597.1557091610835,-1.768010978951807,0.793475274009194,-2.2281866075278876,0.02586807376589827,0.11120739498675761,down
AURKAIP1,4539.418948105529,-1.7977918537673658,0.6326845658463323,-2.8415294932356816,0.004489769888031728,0.03335164242102544,down
NDUFB4P8,4.0605378185212135,-2.4936529389425703,1.2635870419070703,-1.9734714398297577,0.04844187535604886,0.16664919736445724,down
RP4-758J18.2,1436.2027353194508,-2.002220129682603,0.7785195621303795,-2.5718302109244746,0.0101162491062468,0.058916757637271604,down
ATAD3C,634.1766248221717,-1.9785173437601342,0.8867692447161076,-2.2311524171020856,0.02567103463292418,0.1106526567170096,down
ATAD3A,1896.4323930018872,-1.3807924668316116,0.6971791587994312,-1.980541801062138,0.04764268115749606,0.16483346719741854,down
SSU72,7262.34280057836,-1.0942346368756843,0.44712794343526385,-2.4472517384369428,0.014395025719473743,0.07495462565381827,down
NADK,6689.872949732184,-1.5341762271511972,0.49084107403974125,-3.125606857886921,0.0017743859122021797,0.016958714962295018,down
TMEM52,2363.7166192339027,-4.997949976704603,1.7906819176721027,-2.7910875334028993,0.005253126363100001,0.037420273777246,down
PRKCZ,1161.9777730804603,-3.0883484123604483,0.6181883262820717,-4.9958051309938085,5.859080216456203e-07,2.9891855448316258e-05,down
RP5-892K4.1,12.89277387297769,-2.4966221432637634,0.7570461244248013,-3.297846805781722,0.000974292747129922,0.010801057664727153,down
PLCH2,808.8847611900767,-4.891109810092229,0.7783577378641344,-6.283884096166065,3.302169358656891e-10,4.319745547178391e-08,down
RP3-395M20.2,4.799488453425481,-5.937958938822593,2.9220400152712003,-2.0321278653918364,0.04214071307969315,0.15247810985963345,down
RP3-395M20.3,11.64715791615884,-5.783617961151361,1.8990024799999135,-3.045608429722337,0.002322100330981683,0.02074035621253913,down
RP3-395M20.12,129.62716683850118,-4.006133361034648,0.6200241682072781,-6.461253555031376,1.038391591614598e-10,1.505018813096408e-08,down
RP3-395M20.8,467.5232193048871,-3.320084368240775,0.681437749458534,-4.872175588861774,1.1037600305367442e-06,4.968915672034085e-05,down
MMEL1,46.32584299078306,-2.9983620088763865,1.2996864532521202,-2.3069887366862845,0.02105544802189862,0.09663314796830703,down
ARHGEF16,1024.5511032767567,-2.539635334063712,0.7333763110997942,-3.4629361429130356,0.0005343151860566252,0.006943375487070022,down
RP11-168F9.2,2.8512689840551775,-5.280108133613463,2.514830875854394,-2.099587763260457,0.035765120134057894,,down
LINC01134,34.36372947630123,-2.791827689501813,0.9466313507111032,-2.9492237790398668,0.0031857320929467407,0.026082865626943896,down
RP1-58B11.1,42.35740110452722,-8.069311245650136,4.078050431418896,-1.9787178656450652,0.04784778033936028,0.16526882804150106,down
ICMT,2896.5520698763803,-0.9848593173521191,0.31806774497559026,-3.0963822421783163,0.001958976537454537,0.018249403416861595,down
HES2,29.653149590527686,-8.589827655533934,3.3215050171407507,-2.586125148451021,0.009706168163929232,0.05732684503210715,down
ESPN,1667.5234419664575,-7.518202762234512,2.043305209403679,-3.67943209249128,0.0002337539217876832,0.003690605729659275,down
TNFRSF9,21.690682486390163,-3.4360534105608327,1.5121081429812082,-2.272359570649792,0.02306480150567228,0.10320295064167588,down
ERRFI1,54992.758039571825,-2.5358614875684022,1.155753040670514,-2.1941205416143346,0.028226744885744975,0.11757609981882243,down
LINC01714,9.5749132149709,-5.5267702997687325,2.2429029772520326,-2.4641147458549635,0.01373521319143882,0.07233797398700895,down
